vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:64 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=2,batch_sz=512,mode=0] exmap:0
space: 180.614 GB 
Switching to workload ratios: dr=0.5 dw=0.5 nr=0.5 nw=1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch
0,2927,318.719,22.3477,vmcache,32,1000,tpcc,512,94.8873,0.508785,236,44730,39383508,1,621.25
1,3370,300.512,18.1836,vmcache,32,1000,tpcc,512,94.9472,0.90999,237,29164,4655,1,620.511
2,3404,285.129,11.1094,vmcache,32,1000,tpcc,512,94.8765,1.36406,281,39811,2844,1,642.113
3,3954,285.297,12.4609,vmcache,32,1000,tpcc,512,94.9537,1.74286,340,27189,3190,1,617.932
4,3992,276.5,10.957,vmcache,32,1000,tpcc,512,94.9829,2.13496,306,30928,2805,1,631.184
5,3695,260.262,13.7852,vmcache,32,1000,tpcc,512,94.8966,2.55578,326,37528,3529,1,625.467
6,4081,264.125,11.9453,vmcache,32,1000,tpcc,512,94.8841,2.94895,334,32387,3058,1,635.039
7,4466,267.773,15.2617,vmcache,32,1000,tpcc,512,94.9174,3.3206,405,28601,3907,1,621.761
8,4634,267.895,13.9648,vmcache,32,1000,tpcc,512,94.9921,3.67691,433,25788,3043,1,628.976
9,4842,259.41,9.03516,vmcache,32,1000,tpcc,512,94.9324,4.08955,347,36382,2845,1,627.276
10,5624,263.258,20.7656,vmcache,32,1000,tpcc,512,94.9137,4.47383,372,31443,5316,1,628.86
11,5390,258.949,12.7266,vmcache,32,1000,tpcc,512,94.9399,4.84142,399,28755,3258,1,625.109
12,5632,254.934,12.4414,vmcache,32,1000,tpcc,512,94.9324,5.2211,398,31372,3185,1,627.44
13,5572,257.707,13.1055,vmcache,32,1000,tpcc,512,94.9521,5.59044,451,29733,3355,1,619.438
14,6131,257.41,15.5742,vmcache,32,1000,tpcc,512,94.8993,5.99219,451,34950,3987,1,624.107
15,6326,254.832,8.11328,vmcache,32,1000,tpcc,512,94.9545,6.34843,449,27619,2077,1,627.705
16,6316,250.789,11.168,vmcache,32,1000,tpcc,512,94.9081,6.74484,432,34753,2859,1,620.589
17,6820,248.715,13.0156,vmcache,32,1000,tpcc,512,94.8427,7.14536,400,35960,3332,1,620
18,7232,262.586,7.13672,vmcache,32,1000,tpcc,512,94.9817,7.4747,437,22116,1827,1,614.333
19,7390,252.754,19.7227,vmcache,32,1000,tpcc,512,94.8678,7.89593,420,38690,5049,1,614.127
20,7392,252.555,15.1758,vmcache,32,1000,tpcc,512,94.8563,8.27293,431,31483,3885,1,617.314
21,7659,257.66,14.0977,vmcache,32,1000,tpcc,512,94.9265,8.619,422,25731,3609,1,612.643
22,8138,259.242,8.53125,vmcache,32,1000,tpcc,512,94.9888,8.98008,426,27819,2184,1,604.761
