vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:64 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=3,batch_sz=2048,mode=0] exmap:0
space: 180.615 GB 
Switching to workload ratios: dr=0.5 dw=0.5 nr=0.5 nw=1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch
55,18596,243.48,6.55469,vmcache,32,1000,tpcc,2048,94.8038,22.7675,173,46093,1678,1,2304.65
56,18228,239.68,4.67969,vmcache,32,1000,tpcc,2048,94.4097,23.3461,191,66561,1198,1,2295.21
57,20202,259.855,0,vmcache,32,1000,tpcc,2048,94.8617,23.5422,187,0,0,1,0
58,18920,241.348,3.44922,vmcache,32,1000,tpcc,2048,94.5032,24.1083,206,64261,883,1,2295.04
59,20786,260.438,0,vmcache,32,1000,tpcc,2048,94.9543,24.306,219,0,0,1,0
60,19480,241.695,3.35156,vmcache,32,1000,tpcc,2048,94.655,24.8442,201,59655,858,1,2294.42
61,19055,236.434,7.92188,vmcache,32,1000,tpcc,2048,94.4983,25.2961,163,45827,2028,1,2291.35
62,21048,256.754,0,vmcache,32,1000,tpcc,2048,94.8913,25.5187,190,4633,0,1,2316.5
63,20034,241.012,4.90234,vmcache,32,1000,tpcc,2048,94.5922,26.054,190,59095,1255,1,2272.88
64,20404,243.91,4.87891,vmcache,32,1000,tpcc,2048,94.5988,26.4424,209,33807,1249,1,2253.8
65,20363,246.742,0,vmcache,32,1000,tpcc,2048,94.7272,26.7821,169,25410,0,1,2310
66,20321,239.215,5.82812,vmcache,32,1000,tpcc,2048,94.3742,27.3417,179,63231,1492,1,2258.25
67,22532,259.879,0,vmcache,32,1000,tpcc,2048,94.8359,27.5387,206,0,0,1,0
68,20831,240.184,4.49219,vmcache,32,1000,tpcc,2048,94.5972,28.0463,203,54525,1150,1,2271.88
69,21434,242.605,8.45312,vmcache,32,1000,tpcc,2048,94.4424,28.5108,174,46936,2164,1,2235.05
70,22139,253.75,0,vmcache,32,1000,tpcc,2048,94.7878,28.7562,173,8961,0,1,2240.25
71,21691,241.695,4.53906,vmcache,32,1000,tpcc,2048,94.5364,29.2744,174,56240,1162,1,2249.6
72,23273,259.793,3.95703,vmcache,32,1000,tpcc,2048,94.9947,29.4711,187,0,487,1,0
73,21302,234.812,2.21484,vmcache,32,1000,tpcc,2048,94.7306,29.9846,181,56288,1093,1,2251.52
74,21427,236.605,6.54688,vmcache,32,1000,tpcc,2048,94.3801,30.5412,163,63044,1676,1,2251.57
75,23905,261.551,0,vmcache,32,1000,tpcc,2048,94.8469,30.7395,190,0,0,1,0
76,22512,240.52,3.89062,vmcache,32,1000,tpcc,2048,94.5792,31.2652,215,57667,996,1,2217.96
77,22977,245.086,6.44531,vmcache,32,1000,tpcc,2048,94.629,31.6358,209,31043,1650,1,2217.36
78,24431,260.148,0,vmcache,32,1000,tpcc,2048,94.8019,31.9788,188,24497,0,1,2227
79,22198,236.34,8.13281,vmcache,32,1000,tpcc,2048,94.5129,32.5017,194,57897,2082,1,2226.81
80,24480,261.703,0,vmcache,32,1000,tpcc,2048,94.9805,32.7002,213,0,0,1,0
81,22169,229.488,4.57031,vmcache,32,1000,tpcc,2048,94.6585,33.2333,191,60217,1170,1,2230.26
82,22895,235.551,4.57812,vmcache,32,1000,tpcc,2048,94.5371,33.6763,214,44354,1172,1,2217.7
83,24907,254.086,0,vmcache,32,1000,tpcc,2048,94.8825,33.9233,224,8905,0,1,2226.25
84,24098,243.586,7.14844,vmcache,32,1000,tpcc,2048,94.6334,34.4391,234,55632,1830,1,2225.28
85,24364,241.402,5.16406,vmcache,32,1000,tpcc,2048,94.4721,34.9114,225,48635,1322,1,2210.68
86,26467,261.473,0,vmcache,32,1000,tpcc,2048,94.94,35.11,247,0,0,1,0
87,24429,242.242,3.98828,vmcache,32,1000,tpcc,2048,94.6281,35.6607,215,61545,1021,1,2198.04
88,24947,240.695,9.04297,vmcache,32,1000,tpcc,2048,94.4083,36.1555,207,52483,2315,1,2186.79
89,26485,256.23,0,vmcache,32,1000,tpcc,2048,94.763,36.4032,224,8903,0,1,2225.75
90,24787,238.609,4.21094,vmcache,32,1000,tpcc,2048,94.5496,36.8993,209,52684,1078,1,2195.17
91,26609,253.547,3.98047,vmcache,32,1000,tpcc,2048,94.9978,37.0906,252,0,1019,1,0
92,27081,252.27,0,vmcache,32,1000,tpcc,2048,94.7742,37.6227,225,57061,0,1,2194.65
