vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:64 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=3,batch_sz=512,mode=2] exmap:0
space: 180.62 GB 
Switching to workload ratios: dr=0.5 dw=0.5 nr=0.5 nw=1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch
0,2920,321.742,23.3008,vmcache,32,1000,tpcc,512,94.917,0.496852,241,42386,39385399,1,623.324
1,3482,304.668,14.9961,vmcache,32,1000,tpcc,512,94.9744,0.910544,243,30432,3839,1,621.061
2,3472,286.188,16.6016,vmcache,32,1000,tpcc,512,94.9218,1.34881,270,37289,4250,1,632.017
3,3954,291.059,19.2578,vmcache,32,1000,tpcc,512,94.9792,1.73596,332,28048,4930,1,623.289
4,3928,275.414,13.0938,vmcache,32,1000,tpcc,512,94.9914,2.13163,324,31426,3352,1,628.52
5,3784,274.188,16.1914,vmcache,32,1000,tpcc,512,94.9527,2.54622,338,34854,4145,1,633.709
6,4345,278.867,15.3438,vmcache,32,1000,tpcc,512,94.9446,2.95458,372,33264,3928,1,627.623
7,4572,268.996,17,vmcache,32,1000,tpcc,512,94.9661,3.33139,387,29271,4352,1,622.787
8,4624,263.438,18.1367,vmcache,32,1000,tpcc,512,94.9002,3.74199,421,35478,4643,1,633.536
9,4966,264.879,12.3086,vmcache,32,1000,tpcc,512,94.9303,4.11621,394,29256,3151,1,622.468
10,5509,260.359,12.9297,vmcache,32,1000,tpcc,512,94.9046,4.51154,382,33413,3310,1,630.434
11,5630,262.922,12.5742,vmcache,32,1000,tpcc,512,94.9316,4.88538,411,29396,3219,1,625.447
12,5557,259.496,13.6094,vmcache,32,1000,tpcc,512,94.9571,5.25372,432,28885,3484,1,627.935
13,6036,252.383,12.3438,vmcache,32,1000,tpcc,512,94.8682,5.67075,422,38344,3160,1,618.452
14,6250,271.66,5.93359,vmcache,32,1000,tpcc,512,94.9995,6.01741,433,23630,1519,1,621.842
15,6513,259.422,12.6328,vmcache,32,1000,tpcc,512,94.9719,6.4155,430,34222,3234,1,622.218
16,6829,259.211,15.9805,vmcache,32,1000,tpcc,512,94.9822,6.78958,407,29972,4091,1,624.417
17,6828,254.906,15.6602,vmcache,32,1000,tpcc,512,94.9714,7.16829,457,31427,4009,1,616.216
18,7167,255.691,13.7695,vmcache,32,1000,tpcc,512,94.9353,7.56434,435,34099,3525,1,619.982
