vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:64 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=1,batch_sz=1024,mode=0] exmap:0
space: 180.613 GB 
Switching to workload ratios: dr=0.5 dw=0.5 nr=0.5 nw=1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch
0,2527,281.48,13.1016,vmcache,32,1000,tpcc,1024,94.99,0.414616,210,33596,39380981,1,1292.15
1,2257,212.617,2.08203,vmcache,32,1000,tpcc,1024,94.8438,0.809163,180,39116,533,1,1261.81
2,2441,203.656,8.11719,vmcache,32,1000,tpcc,1024,94.6593,1.20007,189,39782,2078,1,1283.29
3,2935,242.277,7.18359,vmcache,32,1000,tpcc,1024,94.7527,1.51268,255,21552,1839,1,1267.76
4,3639,262.445,6.45703,vmcache,32,1000,tpcc,1024,95,1.78062,322,11638,1653,1,1293.11
5,2767,201.18,0,vmcache,32,1000,tpcc,1024,94.8547,2.16119,214,38195,0,1,1273.17
6,2797,193.273,10.1133,vmcache,32,1000,tpcc,1024,94.6533,2.54253,237,39489,2589,1,1273.84
7,3511,237.777,7.34766,vmcache,32,1000,tpcc,1024,95,2.72247,301,0,1881,1,0
8,3075,191.477,0,vmcache,32,1000,tpcc,1024,94.81,3.11129,272,40898,0,1,1278.06
9,3433,208.402,11.2188,vmcache,32,1000,tpcc,1024,94.6639,3.48745,310,36879,2872,1,1271.69
10,4158,237.812,7.07812,vmcache,32,1000,tpcc,1024,94.9993,3.6747,377,1276,1812,1,1276
11,4097,230.434,0.261719,vmcache,32,1000,tpcc,1024,94.9372,4.05998,393,35350,67,1,1262.5
12,3116,156.172,5.49609,vmcache,32,1000,tpcc,1024,94.6979,4.41231,251,39170,1407,1,1263.55
13,4729,217.109,9.50781,vmcache,32,1000,tpcc,1024,94.8028,4.68066,292,17575,2434,1,1255.36
14,5354,254.969,4.41016,vmcache,32,1000,tpcc,1024,94.9961,4.97146,399,16467,1129,1,1266.69
15,4038,185.609,4.45703,vmcache,32,1000,tpcc,1024,94.8127,5.34372,284,39044,1141,1,1259.48
16,3972,183.965,8.25781,vmcache,32,1000,tpcc,1024,94.6498,5.69751,299,36027,2114,1,1242.31
17,5704,245.035,4.73438,vmcache,32,1000,tpcc,1024,94.9986,5.89591,389,2474,1212,1,1237
18,4366,179.336,0.253906,vmcache,32,1000,tpcc,1024,94.8366,6.25483,268,37483,65,1,1249.43
19,4140,169.75,5.87109,vmcache,32,1000,tpcc,1024,94.6587,6.59863,287,36328,1503,1,1252.69
20,6093,239.391,9.50781,vmcache,32,1000,tpcc,1024,94.9993,6.78658,419,1193,2434,1,1193
21,3278,117.805,0,vmcache,32,1000,tpcc,1024,94.7142,7.11243,206,39999,0,1,1249.97
22,4694,179.043,3.12109,vmcache,32,1000,tpcc,1024,94.9929,7.24722,310,0,799,1,0
23,2269,77.3555,4.9375,vmcache,32,1000,tpcc,1024,94.6897,7.51205,125,34576,1264,1,1234.86
24,4906,180.785,0,vmcache,32,1000,tpcc,1024,94.9661,7.65576,317,1265,0,1,1265
25,1567,51.25,8.5625,vmcache,32,1000,tpcc,1024,94.6229,7.89433,83,33518,2192,1,1241.41
26,5041,178.41,0,vmcache,32,1000,tpcc,1024,94.8653,8.0515,309,3766,0,1,1255.33
27,2840,95.4258,6.79688,vmcache,32,1000,tpcc,1024,95,8.12254,163,0,1740,1,0
28,3704,124.973,0,vmcache,32,1000,tpcc,1024,94.7622,8.43689,194,36916,0,1,1230.53
29,4641,159.352,6.49219,vmcache,32,1000,tpcc,1024,94.999,8.55747,293,0,1662,1,0
30,3042,97.0391,1.08203,vmcache,32,1000,tpcc,1024,94.7288,8.84271,150,35513,277,1,1224.59
31,5532,175.758,5.42969,vmcache,32,1000,tpcc,1024,94.9954,8.97568,309,0,1390,1,0
32,1767,55.6133,2.91016,vmcache,32,1000,tpcc,1024,94.6434,9.23423,105,36391,745,1,1213.03
33,5583,178.344,0,vmcache,32,1000,tpcc,1024,94.9348,9.36768,309,0,0,1,0
34,2663,87.8242,11.0391,vmcache,32,1000,tpcc,1024,94.7111,9.60007,129,27884,2826,1,1212.35
35,5661,177.375,0,vmcache,32,1000,tpcc,1024,94.8938,9.78648,304,8775,0,1,1253.57
36,2697,83.0898,8.42969,vmcache,32,1000,tpcc,1024,94.9866,9.85743,141,1202,2158,1,1202
37,5844,163.508,0,vmcache,32,1000,tpcc,1024,94.8463,10.1841,283,34289,0,1,1224.61
38,3605,108.891,7.65625,vmcache,32,1000,tpcc,1024,95,10.266,193,0,1960,1,0
39,4112,115.008,0,vmcache,32,1000,tpcc,1024,94.7374,10.5777,213,37803,0,1,1219.45
40,5701,167.145,4.25,vmcache,32,1000,tpcc,1024,94.9974,10.7032,271,0,1088,1,0
41,1735,48.1406,0.890625,vmcache,32,1000,tpcc,1024,94.6224,10.9649,66,37840,228,1,1220.65
42,6445,176.488,0,vmcache,32,1000,tpcc,1024,94.9115,11.0978,317,0,0,1,0
43,2550,68.2344,7.38672,vmcache,32,1000,tpcc,1024,95,11.1495,129,0,1891,1,0
44,5667,152.453,0,vmcache,32,1000,tpcc,1024,94.79,11.4941,270,38615,0,1,1206.72
45,5265,138.305,6.30859,vmcache,32,1000,tpcc,1024,94.9997,11.5975,233,0,1615,1,0
46,3460,86.5781,0.609375,vmcache,32,1000,tpcc,1024,94.6954,11.8851,171,37470,156,1,1208.71
47,7366,174.301,0,vmcache,32,1000,tpcc,1024,94.9826,12.0166,271,0,0,1,0
48,1622,42.0938,7.91016,vmcache,32,1000,tpcc,1024,94.6529,12.2356,83,31478,2025,1,1210.69
49,7354,174.211,0,vmcache,32,1000,tpcc,1024,94.8689,12.4023,278,5961,0,1,1192.2
50,3908,94.3906,7.5,vmcache,32,1000,tpcc,1024,94.9734,12.4875,146,2374,1920,1,1187
51,7055,165.43,0,vmcache,32,1000,tpcc,1024,94.8906,12.7901,280,30004,0,1,1200.16
52,3232,76.5781,5.23828,vmcache,32,1000,tpcc,1024,94.9868,12.8549,124,1121,1341,1,1121
53,6293,140.609,0,vmcache,32,1000,tpcc,1024,94.8047,13.1684,227,34769,0,1,1198.93
54,5829,128.988,6.48047,vmcache,32,1000,tpcc,1024,94.9993,13.2651,207,0,1659,1,0
55,4205,84.2188,0,vmcache,32,1000,tpcc,1024,94.6976,13.5499,128,37158,0,1,1198.65
56,7836,174.047,0,vmcache,32,1000,tpcc,1024,94.9862,13.6806,294,0,0,1,0
57,2535,60.4492,9.49609,vmcache,32,1000,tpcc,1024,94.653,13.9279,107,33829,2431,1,1208.18
58,8335,173.125,0,vmcache,32,1000,tpcc,1024,94.8978,14.0801,246,3548,0,1,1182.67
59,3242,71.5195,5.16797,vmcache,32,1000,tpcc,1024,95,14.1339,121,0,1323,1,0
60,5975,120.574,0,vmcache,32,1000,tpcc,1024,94.7468,14.4524,181,38010,0,1,1187.81
61,8118,165.16,7.48828,vmcache,32,1000,tpcc,1024,94.9988,14.577,247,0,1917,1,0
62,4216,81.5547,1.75391,vmcache,32,1000,tpcc,1024,94.7203,14.8432,109,34258,449,1,1181.31
63,8710,170.883,5.35938,vmcache,32,1000,tpcc,1024,94.9909,14.9712,243,0,1372,1,0
64,4002,74.0977,3.41406,vmcache,32,1000,tpcc,1024,94.7081,15.2252,85,33266,874,1,1188.07
65,8846,172.801,0,vmcache,32,1000,tpcc,1024,94.9818,15.3633,209,1157,0,1,1157
66,2154,38.8672,7.23438,vmcache,32,1000,tpcc,1024,94.6575,15.5764,37,30905,1852,1,1188.65
67,9686,172.363,0,vmcache,32,1000,tpcc,1024,94.8633,15.7485,186,7140,0,1,1190
68,5060,94.5391,6.25781,vmcache,32,1000,tpcc,1024,94.9864,15.8278,117,1173,1602,1,1173
69,7710,137.344,0,vmcache,32,1000,tpcc,1024,94.8084,16.1362,160,34321,0,1,1183.48
70,6974,122.051,4.74219,vmcache,32,1000,tpcc,1024,95,16.2283,151,0,1214,1,0
71,4201,69.1562,0,vmcache,32,1000,tpcc,1024,94.6646,16.5067,71,37952,0,1,1186
72,9858,167.988,0,vmcache,32,1000,tpcc,1024,94.9444,16.6353,211,0,0,1,0
73,3908,66.9414,6.55078,vmcache,32,1000,tpcc,1024,94.6999,16.8544,84,28442,1677,1,1185.08
74,9840,167.012,0,vmcache,32,1000,tpcc,1024,94.9121,17.0152,165,5943,0,1,1188.6
75,4005,65.9766,6.82031,vmcache,32,1000,tpcc,1024,94.9315,17.1009,63,5938,1746,1,1187.6
76,9964,160.301,0,vmcache,32,1000,tpcc,1024,94.8679,17.3896,164,28108,0,1,1171.17
77,5429,89.0195,5.94922,vmcache,32,1000,tpcc,1024,94.9873,17.4633,73,1080,1523,1,1080
78,7251,114.117,0,vmcache,32,1000,tpcc,1024,94.7601,17.7597,110,35123,0,1,1170.77
79,9417,153.859,7.75391,vmcache,32,1000,tpcc,1024,94.9975,17.876,147,0,1985,1,0
80,4875,74.6172,1.19531,vmcache,32,1000,tpcc,1024,94.6991,18.143,67,35176,306,1,1172.53
81,10771,167.039,0,vmcache,32,1000,tpcc,1024,94.9824,18.2699,154,0,0,1,0
82,2735,42.3242,6.18359,vmcache,32,1000,tpcc,1024,94.6722,18.4836,24,30416,1583,1,1169.85
83,10920,166.383,0,vmcache,32,1000,tpcc,1024,94.8815,18.646,137,5861,0,1,1172.2
84,4958,75.1953,3.08203,vmcache,32,1000,tpcc,1024,94.9862,18.7102,52,1183,789,1,1183
85,8747,129.844,0,vmcache,32,1000,tpcc,1024,94.8057,19.0099,100,33708,0,1,1162.34
86,8522,126.441,6.85547,vmcache,32,1000,tpcc,1024,95,19.1054,104,0,1755,1,0
87,6720,97.7578,0,vmcache,32,1000,tpcc,1024,94.7479,19.3887,77,34981,0,1,1166.03
88,10729,158.793,6.30078,vmcache,32,1000,tpcc,1024,94.9963,19.5106,128,0,1613,1,0
89,4975,67.9531,0.578125,vmcache,32,1000,tpcc,1024,94.6955,19.7697,46,34766,148,1,1158.87
90,11545,166.492,0,vmcache,32,1000,tpcc,1024,94.9795,19.8963,112,0,0,1,0
91,5557,80.25,7.48047,vmcache,32,1000,tpcc,1024,94.7152,20.1465,58,31770,1915,1,1176.67
92,11674,165.609,0,vmcache,32,1000,tpcc,1024,94.9978,20.2722,117,0,0,1,0
