vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:128 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=3,batch_sz=2048,mode=0] exmap:0
space: 180.617 GB 
Switching to workload ratios: dr=0.8 dw=0.8 nr=0.8 nw=0.8
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch,lat_min,lat_max,lat_p95
0,2522,279.957,5.92578,vmcache,32,1000,tpcc,1024,94.6235,0.303137,51223,95560,39380042,1,1274.13,12144,451712698,67108864
1,3058,275.07,4.24609,vmcache,32,1000,tpcc,1024,94.657,0.50154,50595,60949,1087,1,1269.77,11258,452326100,67108864
2,3300,281.746,1.40625,vmcache,32,1000,tpcc,1024,94.9974,0.630587,51777,37409,360,1,1289.97,11920,469977668,67108864
3,3631,260.754,4.18359,vmcache,32,1000,tpcc,1024,94.9755,0.832281,48309,62608,1071,1,1277.71,11518,468746076,67108864
4,3336,254.707,3.57031,vmcache,32,1000,tpcc,1024,94.8913,1.04541,46926,66221,914,1,1273.48,11736,437556950,67108864
5,3619,247.758,3.27344,vmcache,32,1000,tpcc,1024,94.7948,1.25684,46302,66353,838,1,1276.02,11298,448177024,67108864
6,3631,246.719,4.17578,vmcache,32,1000,tpcc,1024,94.7255,1.46002,45635,63619,1069,1,1272.38,10684,448351596,67108864
7,4008,248.898,4.39062,vmcache,32,1000,tpcc,1024,94.69,1.6566,46766,61597,1124,1,1257.08,10842,453962214,33554432
8,7255,432.523,4.13281,vmcache,32,1000,tpcc,1024,94.6839,1.98752,80915,103667,1058,1,1264.23,10572,363031256,16777216
9,8545,434.652,4.62891,vmcache,32,1000,tpcc,1024,94.7372,2.30575,82768,100276,1185,1,1253.45,9852,268814104,8388608
10,9357,440.301,5.73438,vmcache,32,1000,tpcc,1024,94.8796,2.60608,83995,94575,1468,1,1244.41,9998,248956468,8388608
11,9678,441.863,5.10547,vmcache,32,1000,tpcc,1024,94.9981,2.91482,84031,97144,1307,1,1245.44,10234,223576306,8388608
12,10068,418.707,5.97266,vmcache,32,1000,tpcc,1024,94.6395,3.32486,81080,132700,1529,1,1240.19,10166,243948770,8388608
13,11390,433.383,7.3125,vmcache,32,1000,tpcc,1024,94.8811,3.59626,84125,86387,1872,1,1234.1,8910,209591468,8388608
14,11480,419.602,9.46484,vmcache,32,1000,tpcc,1024,94.7209,3.95639,82496,117083,2423,1,1232.45,10472,212683104,8388608
15,12781,435.285,6.20703,vmcache,32,1000,tpcc,1024,94.9677,4.22971,85130,88024,1589,1,1222.56,10174,203058996,8388608
16,12312,410.34,7.6875,vmcache,32,1000,tpcc,1024,94.7205,4.60627,81566,123737,1968,1,1225.12,9988,221806582,8388608
17,13364,423.891,5.66016,vmcache,32,1000,tpcc,1024,94.8811,4.89343,83640,93206,1449,1,1226.39,10570,196771304,8388608
18,13625,403.887,4.04688,vmcache,32,1000,tpcc,1024,94.9274,5.19519,80955,99604,1036,1,1214.68,10568,226817112,8388608
19,14253,403.348,6.71484,vmcache,32,1000,tpcc,1024,94.6565,5.57418,81205,125748,1719,1,1209.12,9428,192975040,8388608
20,14945,407.289,4.70312,vmcache,32,1000,tpcc,1024,94.7521,5.86676,82500,97266,1204,1,1215.83,9380,196394266,8388608
21,16447,405.922,6.57422,vmcache,32,1000,tpcc,1024,94.9761,6.12558,84136,87838,1683,1,1203.26,9296,188638286,8388608
22,16152,384.199,9.08594,vmcache,32,1000,tpcc,1024,94.7934,6.46761,80164,116266,2326,1,1198.62,9884,191090624,8388608
23,17234,388.562,6.34375,vmcache,32,1000,tpcc,1024,94.9654,6.72681,81439,88756,1624,1,1199.41,10018,180056038,8388608
24,17162,377.914,7.99609,vmcache,32,1000,tpcc,1024,94.7574,7.07165,79492,117861,2047,1,1202.66,10810,178546342,8388608
25,18651,379.719,6.55469,vmcache,32,1000,tpcc,1024,94.9347,7.32348,80309,87176,1678,1,1194.19,10276,186640850,8388608
26,18562,364.672,8.22656,vmcache,32,1000,tpcc,1024,94.994,7.592,77594,93143,2106,1,1194.14,9412,175034248,8388608
27,19336,361.285,6.30859,vmcache,32,1000,tpcc,1024,94.804,7.92245,77618,114398,1615,1,1191.65,10132,160639790,8388608
28,19698,354.363,4.58984,vmcache,32,1000,tpcc,1024,94.8223,8.19701,75632,95159,1175,1,1189.49,10186,145784250,8388608
29,20541,351.031,6.55859,vmcache,32,1000,tpcc,1024,94.9312,8.44522,75460,87075,1679,1,1192.81,9630,145647888,8388608
30,10563,174.133,3.74609,vmcache,32,1000,tpcc,1024,94.777,8.62002,37574,60505,959,1,1186.37,10988,358967954,16777216
31,4282,70.7422,1.15625,vmcache,32,1000,tpcc,1024,94.6144,8.71652,15238,33064,296,1,1180.86,21042,412601736,33554432
32,4341,70.8789,0,vmcache,32,1000,tpcc,1024,94.853,8.7137,15456,0,0,1,0,26484,446145318,33554432
33,3787,62.7695,2.91016,vmcache,32,1000,tpcc,1024,94.7458,8.78862,13677,25918,745,1,1178.09,26936,585481452,33554432
34,4320,70.0547,0,vmcache,32,1000,tpcc,1024,94.9804,8.78609,15210,0,0,1,0,24216,336267404,33554432
35,4148,66.7734,2.53125,vmcache,32,1000,tpcc,1024,94.8674,8.8659,14317,27320,648,1,1187.83,21256,564642784,33554432
36,4099,64.7578,2.58984,vmcache,32,1000,tpcc,1024,94.7507,8.94489,14100,27326,663,1,1188.09,24662,811277832,33554432
37,4273,68.0781,0,vmcache,32,1000,tpcc,1024,94.9783,8.94249,14712,0,0,1,0,24756,503820612,33554432
38,3925,63.9297,1.94141,vmcache,32,1000,tpcc,1024,94.834,9.02827,13786,29513,497,1,1180.52,27036,705993136,33554432
39,4230,67.0312,1.99609,vmcache,32,1000,tpcc,1024,94.6954,9.11519,14332,29808,511,1,1192.32,23578,536578404,33554432
40,4544,71.0078,0,vmcache,32,1000,tpcc,1024,94.9336,9.11258,15388,0,0,1,0,16866,473280808,33554432
41,4053,63.8672,2.59766,vmcache,32,1000,tpcc,1024,94.8134,9.19202,13602,27262,665,1,1185.3,22238,393064916,33554432
42,4226,64.0898,1.69141,vmcache,32,1000,tpcc,1024,94.6568,9.28142,14031,30901,433,1,1188.5,21598,470075144,33554432
43,4740,71.7969,0,vmcache,32,1000,tpcc,1024,94.8992,9.27862,15472,0,0,1,0,25178,346740628,33554432
44,4202,65.1094,1.67188,vmcache,32,1000,tpcc,1024,94.748,9.36735,14120,30577,428,1,1176.04,23826,486905736,33554432
45,4470,68.0078,0,vmcache,32,1000,tpcc,1024,94.9792,9.36418,15038,0,0,1,0,29402,270403620,33554432
46,4291,64.5352,1.10156,vmcache,32,1000,tpcc,1024,94.7927,9.46182,13811,33379,282,1,1192.11,32572,459660338,33554432
47,4457,66.582,2.40625,vmcache,32,1000,tpcc,1024,94.6729,9.54362,14626,28443,616,1,1185.12,18364,309772374,33554432
48,4710,70.2461,0,vmcache,32,1000,tpcc,1024,94.9088,9.5412,15286,0,0,1,0,28344,347782076,33554432
49,4191,63.6367,1.50781,vmcache,32,1000,tpcc,1024,94.7369,9.6342,13683,31974,386,1,1184.22,28836,436745892,33554432
50,4825,70.2891,0,vmcache,32,1000,tpcc,1024,94.975,9.63125,15457,0,0,1,0,28776,327737320,33554432
51,4519,66.543,1.98438,vmcache,32,1000,tpcc,1024,94.8393,9.71724,14544,29693,508,1,1187.72,24018,442822062,33554432
52,4542,65.7031,2.26562,vmcache,32,1000,tpcc,1024,94.7136,9.79976,13997,28301,580,1,1179.21,20144,344110500,33554432
53,4730,68.0273,0,vmcache,32,1000,tpcc,1024,94.9435,9.79712,14865,0,0,1,0,28080,220018596,33554432
54,4435,64.6797,1.73828,vmcache,32,1000,tpcc,1024,94.7903,9.88612,14078,30706,445,1,1181,25780,480429448,33554432
55,4606,67.5938,2.41406,vmcache,32,1000,tpcc,1024,94.6736,9.96788,14653,28202,618,1,1175.08,18518,322434532,33554432
56,4906,70.1836,0,vmcache,32,1000,tpcc,1024,94.9124,9.9649,15416,0,0,1,0,20264,268531052,33554432
57,4349,62.207,2.23047,vmcache,32,1000,tpcc,1024,94.6933,10.0681,13547,35368,571,1,1178.93,16440,464921940,33554432
58,4831,69.4609,0,vmcache,32,1000,tpcc,1024,94.9276,10.0655,15046,0,0,1,0,23522,325733892,33554432
59,4763,67.0547,2.63281,vmcache,32,1000,tpcc,1024,94.8253,10.1432,14762,27095,674,1,1178.04,18808,373061940,33554432
60,4489,65.4297,1.65234,vmcache,32,1000,tpcc,1024,94.6767,10.2318,14216,30560,423,1,1175.38,26658,583961016,33554432
61,4799,68.3984,0,vmcache,32,1000,tpcc,1024,94.9071,10.2294,14815,0,0,1,0,22662,149224980,33554432
62,4628,63.9648,1.67578,vmcache,32,1000,tpcc,1024,94.7513,10.3187,14031,30907,429,1,1188.73,19684,325518516,33554432
63,5206,71.5664,0,vmcache,32,1000,tpcc,1024,94.9959,10.3155,15754,0,0,1,0,19350,264907100,33554432
64,4643,64.0391,2.26953,vmcache,32,1000,tpcc,1024,94.8691,10.3971,14195,28443,581,1,1185.12,20802,351459824,33554432
65,4507,62.793,1.50391,vmcache,32,1000,tpcc,1024,94.698,10.4895,13663,31811,385,1,1178.19,18278,288086622,33554432
66,5013,69.5156,0,vmcache,32,1000,tpcc,1024,94.9333,10.4867,15103,0,0,1,0,18172,166921704,33554432
67,4763,64.5977,2.67188,vmcache,32,1000,tpcc,1024,94.7415,10.5848,14285,33995,684,1,1172.24,23186,370024552,33554432
68,5079,70.082,0,vmcache,32,1000,tpcc,1024,94.9812,10.5816,15396,0,0,1,0,22464,108579980,33554432
