vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 exmap:0
space: 180.625 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
0,6393,636.551,640.254,vmcache,32,1000,tpcc,64
1,8116,630.32,629.359,vmcache,32,1000,tpcc,64
2,8703,610.145,611.801,vmcache,32,1000,tpcc,64
3,10077,609.891,619.004,vmcache,32,1000,tpcc,64
4,10827,567.629,576.039,vmcache,32,1000,tpcc,64
5,11855,563.227,563.059,vmcache,32,1000,tpcc,64
6,12495,556.082,565.922,vmcache,32,1000,tpcc,64
7,14190,563.363,581.469,vmcache,32,1000,tpcc,64
8,15154,563.012,572.113,vmcache,32,1000,tpcc,64
9,15283,548.184,555.047,vmcache,32,1000,tpcc,64
10,16640,548.52,568.477,vmcache,32,1000,tpcc,64
11,18137,571.75,588.984,vmcache,32,1000,tpcc,64
12,19509,569.094,577.52,vmcache,32,1000,tpcc,64
13,19590,537.496,551.727,vmcache,32,1000,tpcc,64
14,21428,540,561.262,vmcache,32,1000,tpcc,64
15,23392,555.629,570.785,vmcache,32,1000,tpcc,64
16,24917,560.094,580.047,vmcache,32,1000,tpcc,64
17,26066,549.543,570.793,vmcache,32,1000,tpcc,64
18,26467,516.555,542.477,vmcache,32,1000,tpcc,64
19,29153,548.082,567.656,vmcache,32,1000,tpcc,64
20,30558,544.785,569.578,vmcache,32,1000,tpcc,64
21,31561,537.59,567.527,vmcache,32,1000,tpcc,64
22,32396,536.543,559.207,vmcache,32,1000,tpcc,64
23,34735,549.625,577.488,vmcache,32,1000,tpcc,64
24,35123,539.859,568.25,vmcache,32,1000,tpcc,64
25,35356,529.859,560.941,vmcache,32,1000,tpcc,64
26,36141,529.547,565.031,vmcache,32,1000,tpcc,64
27,37760,552.656,578.098,vmcache,32,1000,tpcc,64
28,38850,546.855,575.508,vmcache,32,1000,tpcc,64
29,36583,503.395,541.691,vmcache,32,1000,tpcc,64
30,37568,525.398,558.875,vmcache,32,1000,tpcc,64
31,40053,536.949,569.172,vmcache,32,1000,tpcc,64
32,40725,543,578.074,vmcache,32,1000,tpcc,64
33,39889,529.312,563.438,vmcache,32,1000,tpcc,64
34,40929,529.012,559.926,vmcache,32,1000,tpcc,64
35,41707,530.129,568.953,vmcache,32,1000,tpcc,64
36,42938,540.43,571.016,vmcache,32,1000,tpcc,64
37,42352,533.465,554.961,vmcache,32,1000,tpcc,64
38,43930,538.379,568.258,vmcache,32,1000,tpcc,64
39,45075,553.062,559.949,vmcache,32,1000,tpcc,64
40,43378,526.66,535.012,vmcache,32,1000,tpcc,64
41,44872,531.742,530.172,vmcache,32,1000,tpcc,64
42,45485,531.34,521.367,vmcache,32,1000,tpcc,64
43,47620,558.176,536.238,vmcache,32,1000,tpcc,64
44,50030,563.773,538.246,vmcache,32,1000,tpcc,64
45,48524,557.969,507.5,vmcache,32,1000,tpcc,64
46,48909,548.402,493.52,vmcache,32,1000,tpcc,64
