vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:64 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=3,batch_sz=4096,mode=1] exmap:0
space: 180.623 GB 
Switching to workload ratios: dr=0.5 dw=0.5 nr=0.5 nw=1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch
0,2988,325.5,7.47656,vmcache,32,1000,tpcc,4096,94.1166,0.927025,214,113995,39382056,1,5181.59
1,3890,341.633,0,vmcache,32,1000,tpcc,4096,94.6418,1.18624,314,0,0,1,0
2,3547,277.531,7.85547,vmcache,32,1000,tpcc,4096,93.5068,2.16591,281,128969,2011,1,5158.76
3,4344,320.266,0,vmcache,32,1000,tpcc,4096,94.0036,2.40745,397,0,0,1,0
4,4383,305.242,0,vmcache,32,1000,tpcc,4096,94.4747,2.63942,354,0,0,1,0
5,4443,300.332,0,vmcache,32,1000,tpcc,4096,94.9407,2.86676,373,0,0,1,0
6,4105,250.262,5.85156,vmcache,32,1000,tpcc,4096,93.6734,3.87581,335,137562,1498,1,5094.89
7,5144,296.219,0,vmcache,32,1000,tpcc,4096,94.1357,4.09999,430,0,0,1,0
8,5020,293.34,0,vmcache,32,1000,tpcc,4096,94.5961,4.32126,472,0,0,1,0
9,5683,270.164,8.21094,vmcache,32,1000,tpcc,4096,94.9996,4.52412,391,0,2102,1,0
10,5386,265.398,0,vmcache,32,1000,tpcc,4096,93.9177,5.4749,408,126019,0,1,5040.76
11,6290,286.379,0,vmcache,32,1000,tpcc,4096,94.3723,5.69102,444,0,0,1,0
12,6494,285.93,0,vmcache,32,1000,tpcc,4096,94.8312,5.90473,475,0,0,1,0
13,5451,239.723,8.07031,vmcache,32,1000,tpcc,4096,93.815,6.77224,464,115270,2066,1,5011.74
14,7061,282.785,0,vmcache,32,1000,tpcc,4096,94.2688,6.9849,494,0,0,1,0
15,7473,282.59,0,vmcache,32,1000,tpcc,4096,94.7242,7.19733,492,0,0,1,0
16,6157,234.348,5.75391,vmcache,32,1000,tpcc,4096,93.4275,8.20192,425,138699,1473,1,4953.54
17,8042,279.75,0,vmcache,32,1000,tpcc,4096,93.8783,8.41312,469,0,0,1,0
18,8022,280.461,0,vmcache,32,1000,tpcc,4096,94.331,8.62442,452,0,0,1,0
19,8255,279.18,0,vmcache,32,1000,tpcc,4096,94.7835,8.83424,496,0,0,1,0
20,7315,244.43,5.97266,vmcache,32,1000,tpcc,4096,93.9367,9.63058,459,102680,1529,1,4889.52
21,8914,278.812,0,vmcache,32,1000,tpcc,4096,94.3892,9.84069,471,0,0,1,0
22,8654,276.75,0,vmcache,32,1000,tpcc,4096,94.837,10.0499,482,0,0,1,0
23,8229,233.156,4.25,vmcache,32,1000,tpcc,4096,93.4584,11.0985,346,146500,1088,1,4883.33
24,9562,276.113,0,vmcache,32,1000,tpcc,4096,93.9105,11.3054,506,0,0,1,0
25,9942,276.109,0,vmcache,32,1000,tpcc,4096,94.3624,11.5128,466,0,0,1,0
26,10248,275.102,0,vmcache,32,1000,tpcc,4096,94.8108,11.7212,440,0,0,1,0
27,9052,234.438,7.16797,vmcache,32,1000,tpcc,4096,93.6789,12.6453,424,125486,1835,1,4826.38
28,11504,273.059,0,vmcache,32,1000,tpcc,4096,94.1283,12.851,464,0,0,1,0
29,11416,272.773,0,vmcache,32,1000,tpcc,4096,94.5793,13.0563,472,0,0,1,0
30,11339,263.484,5.28906,vmcache,32,1000,tpcc,4096,94.9982,13.255,439,0,1354,1,0
31,11178,240.762,0.339844,vmcache,32,1000,tpcc,4096,93.9044,14.1823,378,124961,87,1,4806.19
32,12391,272.117,0,vmcache,32,1000,tpcc,4096,94.3539,14.3877,451,0,0,1,0
33,12971,270.879,0,vmcache,32,1000,tpcc,4096,94.807,14.5909,427,0,0,1,0
34,11283,232.285,5.45703,vmcache,32,1000,tpcc,4096,93.7036,15.5026,319,123577,1397,1,4752.96
35,14016,271.316,0,vmcache,32,1000,tpcc,4096,94.1585,15.7067,346,0,0,1,0
36,14184,270.109,0,vmcache,32,1000,tpcc,4096,94.6112,15.9104,370,0,0,1,0
37,13428,242.543,5.33594,vmcache,32,1000,tpcc,4096,94.9995,16.0947,297,0,1366,1,0
38,14576,256.887,0,vmcache,32,1000,tpcc,4096,93.8418,17.0836,288,133415,0,1,4764.82
39,15386,262.535,0,vmcache,32,1000,tpcc,4096,94.2839,17.2825,268,0,0,1,0
40,15674,262.184,0,vmcache,32,1000,tpcc,4096,94.7257,17.4809,266,0,0,1,0
41,13986,230.605,8.96094,vmcache,32,1000,tpcc,4096,93.9145,18.2424,229,98398,2294,1,4685.62
42,16517,262.324,0,vmcache,32,1000,tpcc,4096,94.3553,18.442,256,0,0,1,0
43,16515,261.625,0,vmcache,32,1000,tpcc,4096,94.7964,18.6414,211,0,0,1,0
44,14650,222.383,4.54688,vmcache,32,1000,tpcc,4096,93.5459,19.6172,193,135496,1164,1,4672.28
45,17441,260.641,0,vmcache,32,1000,tpcc,4096,93.9896,19.8151,201,0,0,1,0
46,17891,261.309,0,vmcache,32,1000,tpcc,4096,94.4354,20.0127,185,0,0,1,0
47,18099,260.727,0,vmcache,32,1000,tpcc,4096,94.8819,20.2099,200,0,0,1,0
48,15688,226.32,6.42578,vmcache,32,1000,tpcc,4096,93.9096,21.0514,156,112319,1645,1,4679.96
49,18994,260.73,0,vmcache,32,1000,tpcc,4096,94.3567,21.249,172,0,0,1,0
50,18937,261.047,0,vmcache,32,1000,tpcc,4096,94.8064,21.4458,175,0,0,1,0
51,16522,223.262,6.10938,vmcache,32,1000,tpcc,4096,93.5799,22.4107,169,133388,1564,1,4599.59
52,19487,261.547,0,vmcache,32,1000,tpcc,4096,94.0325,22.6076,186,0,0,1,0
53,19464,261.656,0,vmcache,32,1000,tpcc,4096,94.4813,22.8066,189,0,0,1,0
54,19866,259.848,0,vmcache,32,1000,tpcc,4096,94.9318,23.0028,202,0,0,1,0
55,17381,224.016,6.75781,vmcache,32,1000,tpcc,4096,93.8787,23.8825,161,119203,1730,1,4584.73
56,20623,260.613,0,vmcache,32,1000,tpcc,4096,94.3331,24.0789,190,0,0,1,0
57,20625,261.031,0,vmcache,32,1000,tpcc,4096,94.7839,24.2771,194,0,0,1,0
58,17774,225.062,6.74609,vmcache,32,1000,tpcc,4096,93.7899,25.1299,160,114430,1727,1,4577.2
59,21290,261.18,0,vmcache,32,1000,tpcc,4096,94.2468,25.3272,209,0,0,1,0
60,21233,260.918,0,vmcache,32,1000,tpcc,4096,94.7008,25.5258,227,0,0,1,0
61,18699,229.43,7.09375,vmcache,32,1000,tpcc,4096,93.7762,26.3516,177,109295,1816,1,4553.96
