vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:64 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=1,batch_sz=2048,mode=0] exmap:0
space: 180.618 GB 
Switching to workload ratios: dr=0.5 dw=0.5 nr=0.5 nw=1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch
0,988,121.938,6.73438,vmcache,32,1000,tpcc,2048,94.3332,0.509334,102,69954,39380443,1,2590.89
1,3398,331.332,0,vmcache,32,1000,tpcc,2048,94.8405,0.761527,246,0,0,1,0
2,1556,138.832,9.62891,vmcache,32,1000,tpcc,2048,94.4384,1.15989,118,49172,2465,1,2588
3,3617,302.219,0,vmcache,32,1000,tpcc,2048,94.69,1.4958,307,17998,0,1,2571.14
4,3023,213.566,6.89453,vmcache,32,1000,tpcc,2048,95,1.657,254,0,1765,1,0
5,1629,118.285,0,vmcache,32,1000,tpcc,2048,94.3235,2.17617,169,72087,0,1,2574.54
6,2765,197.926,0,vmcache,32,1000,tpcc,2048,94.6289,2.32654,244,0,0,1,0
7,2730,193.84,0,vmcache,32,1000,tpcc,2048,94.9284,2.47376,245,0,0,1,0
8,863,58.5742,5.94922,vmcache,32,1000,tpcc,2048,95,2.51862,74,0,1523,1,0
9,3404,221.754,0,vmcache,32,1000,tpcc,2048,94.5493,3.08399,323,66655,0,1,2563.65
10,4301,263.547,0,vmcache,32,1000,tpcc,2048,94.9636,3.28152,411,0,0,1,0
11,1112,72.4375,7.81641,vmcache,32,1000,tpcc,2048,94.2965,3.71446,108,63496,2001,1,2539.84
12,4608,263.055,0,vmcache,32,1000,tpcc,2048,94.6198,3.95725,409,7584,0,1,2528
13,4550,251.836,6.0625,vmcache,32,1000,tpcc,2048,94.9982,4.14667,383,0,1552,1,0
14,2273,109.848,1.77344,vmcache,32,1000,tpcc,2048,94.3507,4.6372,158,68434,454,1,2534.59
15,5321,256.055,0,vmcache,32,1000,tpcc,2048,94.7584,4.82873,406,0,0,1,0
