vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:128 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=2,batch_sz=64,mode=0] exmap:0
space: 137.901 GB 
Switching to workload ratios: dr=0.1 dw=0.1 nr=0.1 nw=0.1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch,lat_min,lat_max,lat_p95
0,43045,272.699,239.312,vmcache,32,1000000000,rndread,32,94.9938,0.0269502,882,2846,28242061,1,36.961,3236,50694340,2097152
1,45735,259.758,222.176,vmcache,32,1000000000,rndread,32,94.9987,0.0544071,824,3487,56877,1,37.0957,2872,55293076,2097152
2,48075,256.703,220.172,vmcache,32,1000000000,rndread,32,94.997,0.0826865,768,3620,56364,1,37.7083,2676,58565638,2097152
3,50578,256.41,225.555,vmcache,32,1000000000,rndread,32,94.9953,0.108534,793,2783,57116,1,38.1233,2580,56844460,2097152
4,52630,254.094,217.707,vmcache,32,1000000000,rndread,32,94.9913,0.135419,843,3199,56359,1,37.1977,2582,58572650,2097152
5,53626,247.742,214.633,vmcache,32,1000000000,rndread,32,94.9927,0.160336,871,2982,54946,1,36.8148,2888,61445476,2097152
6,55393,244.969,213.656,vmcache,32,1000000000,rndread,32,94.9925,0.18428,833,2607,54696,1,37.2429,2448,53519200,2097152
7,57269,243.312,212.555,vmcache,32,1000000000,rndread,32,94.9869,0.209138,846,3054,54414,1,37.7037,2640,60635954,2097152
8,59889,242.844,210.512,vmcache,32,1000000000,rndread,32,94.9999,0.230569,866,1976,53891,1,37.283,2736,57747828,2097152
9,61225,241.211,209.996,vmcache,32,1000000000,rndread,32,94.9939,0.256652,886,3435,53502,1,37.337,2476,58507264,2097152
10,63192,241.254,207.812,vmcache,32,1000000000,rndread,32,95.0001,0.280049,955,2605,53387,1,37.7536,2518,65160164,2097152
11,65128,238.914,212.504,vmcache,32,1000000000,rndread,32,94.9988,0.304574,949,2953,53041,1,37.3797,2564,66959666,2097152
12,66366,239.016,204.273,vmcache,32,1000000000,rndread,32,94.9882,0.329483,981,3240,53724,1,38.5714,2840,56426962,2097152
13,67435,238.543,209.375,vmcache,32,1000000000,rndread,32,94.9816,0.353369,1004,2956,53600,1,36.95,2578,62453378,2097152
14,68726,236.855,200.555,vmcache,32,1000000000,rndread,32,94.9976,0.377059,971,2797,51342,1,37.2933,2598,62934796,2097152
15,69336,235.637,209.938,vmcache,32,1000000000,rndread,32,94.9912,0.400737,992,3007,52917,1,38.0633,2528,63500536,2097152
16,70315,236.348,206.504,vmcache,32,1000000000,rndread,32,94.9937,0.424859,998,3067,52202,1,37.4024,2738,64674154,2097152
