vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:64 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=0,batch_sz=4096,mode=0] exmap:0
space: 180.613 GB 
Switching to workload ratios: dr=0.5 dw=0.5 nr=0.5 nw=1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch
0,60,9.26953,4.96484,vmcache,32,1000,tpcc,4096,94.9983,0.00720024,1,0,39378858,1,0
1,1831,200.074,0,vmcache,32,1000,tpcc,4096,93.945,0.839323,131,114059,0,1,5184.5
2,3615,341.305,0,vmcache,32,1000,tpcc,4096,94.4681,1.09883,296,0,0,1,0
3,3800,323.457,0,vmcache,32,1000,tpcc,4096,94.9659,1.3441,330,0,0,1,0
4,505,34.7969,6.32812,vmcache,32,1000,tpcc,4096,94.9999,1.37064,37,0,1620,1,0
5,5,1.55078,0.980469,vmcache,32,1000,tpcc,4096,94.9995,1.3717,5,0,251,1,0
6,13,0.277344,0,vmcache,32,1000,tpcc,4096,94.9377,1.40302,0,5219,0,0,5219
7,79,3.46875,0,vmcache,32,1000,tpcc,4096,94.2713,1.74152,5,56368,0,1,5124.36
8,3437,255.07,0,vmcache,32,1000,tpcc,4096,93.681,2.42684,270,82786,0,1,5174.12
9,3875,273.227,0,vmcache,32,1000,tpcc,4096,94.1038,2.63388,291,0,0,1,0
10,3815,269.492,0,vmcache,32,1000,tpcc,4096,94.521,2.83809,334,0,0,1,0
11,4217,265.535,0,vmcache,32,1000,tpcc,4096,94.9333,3.03915,371,0,0,1,0
12,846,56.3477,6.98047,vmcache,32,1000,tpcc,4096,94.9995,3.08186,63,0,1787,1,0
13,7,0.125,0,vmcache,32,1000,tpcc,4096,94.9997,3.08194,1,0,0,1,0
14,43,1.875,0,vmcache,32,1000,tpcc,4096,94.6385,3.26546,2,30535,0,1,5089.17
15,3819,230.891,0,vmcache,32,1000,tpcc,4096,93.7852,4.04686,339,101641,0,1,5082.05
16,4575,267.66,0,vmcache,32,1000,tpcc,4096,94.2065,4.24783,448,0,0,1,0
17,4996,267.492,0,vmcache,32,1000,tpcc,4096,94.6257,4.45043,398,0,0,1,0
18,5185,241.539,4.44141,vmcache,32,1000,tpcc,4096,94.9938,4.63248,331,0,1137,1,0
