vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:128 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=3,batch_sz=4096,mode=0] exmap:0
space: 137.901 GB 
Switching to workload ratios: dr=0.1 dw=0.1 nr=0.1 nw=0.1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch,lat_min,lat_max,lat_p95
0,45588,290.062,50.3906,vmcache,32,1000000000,rndread,2048,94.9745,0.18931,1005,57089,28193624,1,2195.73,3272,327059790,2097152
1,48189,264.645,62.4766,vmcache,32,1000000000,rndread,2048,94.8686,0.370029,846,54684,15994,1,2187.36,3140,537406560,2097152
2,49597,262.539,66.3477,vmcache,32,1000000000,rndread,2048,94.9042,0.510818,842,41338,16985,1,2296.56,3136,128417782,2097152
3,50663,256.859,58.1367,vmcache,32,1000000000,rndread,2048,94.9719,0.645506,827,39560,14883,1,2197.78,2920,189080274,2097152
4,50699,243.988,51.2773,vmcache,32,1000000000,rndread,2048,94.9899,0.788993,879,42744,12803,1,2249.68,2898,502175818,2097152
5,53565,246.434,25.2461,vmcache,32,1000000000,rndread,2048,94.9986,0.954598,846,50136,6787,1,2278.91,2990,729836406,2097152
6,53824,232.738,51.7227,vmcache,32,1000000000,rndread,2048,94.9972,1.0972,863,42805,11851,1,2252.89,2926,928807726,2097152
7,56384,236.195,47.8438,vmcache,32,1000000000,rndread,2048,94.8779,1.2666,999,51633,13638,1,2244.91,2906,725479210,2097152
8,110242,446.41,74.2969,vmcache,32,1000000000,rndread,2048,94.9838,1.52402,1865,76875,19020,1,2402.34,2670,92417084,1048576
9,129592,478.43,106.969,vmcache,32,1000000000,rndread,2048,94.9337,1.81994,2179,89185,27384,1,2286.79,2732,113907726,1048576
10,144996,502.805,81.2461,vmcache,32,1000000000,rndread,2048,94.959,2.13525,2326,95228,20799,1,2441.74,2406,95070614,524288
11,146742,487.105,89.1094,vmcache,32,1000000000,rndread,2048,94.8545,2.465,2536,100787,22812,1,2458.22,2514,110570212,524288
12,149875,481.496,111.855,vmcache,32,1000000000,rndread,2048,94.9639,2.71966,2517,75477,28635,1,2602.66,2600,86550690,524288
13,155741,491.504,80.2305,vmcache,32,1000000000,rndread,2048,94.9109,3.04668,2699,99648,20539,1,2622.32,2452,103825120,524288
14,162083,496.777,87.3008,vmcache,32,1000000000,rndread,2048,94.9902,3.33927,2677,88077,22349,1,2590.5,2078,111813100,524288
