vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 exmap:0
space: 90.3259 GB 
ts,tx,rmb,wmb,system,threads,datasize,workload,batch
107,64341,360.438,386.465,vmcache,32,500,tpcc,64
108,66178,370.391,386.172,vmcache,32,500,tpcc,64
109,66532,372.801,401.43,vmcache,32,500,tpcc,64
110,67199,374.289,395.137,vmcache,32,500,tpcc,64
111,64430,364.816,378.242,vmcache,32,500,tpcc,64
112,63041,353.141,379.426,vmcache,32,500,tpcc,64
113,65011,364.312,380.328,vmcache,32,500,tpcc,64
114,64493,363.316,381.125,vmcache,32,500,tpcc,64
115,64368,360.328,381.484,vmcache,32,500,tpcc,64
116,64622,363.484,383.527,vmcache,32,500,tpcc,64
117,66907,374.488,395.203,vmcache,32,500,tpcc,64
118,67090,377.797,396.285,vmcache,32,500,tpcc,64
119,64625,361.66,381.512,vmcache,32,500,tpcc,64
120,65066,359.223,381.191,vmcache,32,500,tpcc,64
121,65226,364.844,382.711,vmcache,32,500,tpcc,64
122,65305,365.75,388.52,vmcache,32,500,tpcc,64
123,65576,365.723,382.117,vmcache,32,500,tpcc,64
124,65609,373.098,390.652,vmcache,32,500,tpcc,64
125,66055,371.426,394.672,vmcache,32,500,tpcc,64
126,67323,378.031,393.621,vmcache,32,500,tpcc,64
127,63173,358.762,381.914,vmcache,32,500,tpcc,64
128,63953,359.09,372.953,vmcache,32,500,tpcc,64
129,63831,362.887,381.922,vmcache,32,500,tpcc,64
130,64989,363.266,382.84,vmcache,32,500,tpcc,64
131,62246,353.746,380.246,vmcache,32,500,tpcc,64
132,64760,363.922,376.285,vmcache,32,500,tpcc,64
133,66429,371.32,397.102,vmcache,32,500,tpcc,64
134,67145,371.188,389.203,vmcache,32,500,tpcc,64
135,64580,359.746,380.852,vmcache,32,500,tpcc,64
136,63018,358.398,372.723,vmcache,32,500,tpcc,64
137,64831,361.766,385.402,vmcache,32,500,tpcc,64
138,64936,363.289,384.652,vmcache,32,500,tpcc,64
139,63066,359.406,372.938,vmcache,32,500,tpcc,64
140,64498,361.641,387.18,vmcache,32,500,tpcc,64
141,65335,368.629,388.277,vmcache,32,500,tpcc,64
