vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:64 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=3,batch_sz=2048,mode=2] exmap:0
space: 180.622 GB 
Switching to workload ratios: dr=0.5 dw=0.5 nr=0.5 nw=1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch
0,2816,311.469,11.668,vmcache,32,1000,tpcc,2048,94.2382,0.838691,237,100973,39382700,1,2589.05
1,3661,324.215,0,vmcache,32,1000,tpcc,2048,94.738,1.08392,272,0,0,1,0
2,3409,283.418,7.90234,vmcache,32,1000,tpcc,2048,94.5019,1.62294,286,54351,2023,1,2588.14
3,4275,309.328,0,vmcache,32,1000,tpcc,2048,94.9791,1.85751,349,0,0,1,0
4,3789,270.941,5.30469,vmcache,32,1000,tpcc,2048,94.5848,2.46151,315,66698,1358,1,2565.31
5,3978,274.523,3.46875,vmcache,32,1000,tpcc,2048,94.7875,2.77542,336,17834,888,1,2547.71
6,4601,288.969,0,vmcache,32,1000,tpcc,2048,94.7188,3.2533,370,43512,0,1,2559.53
7,4450,266.348,7.12109,vmcache,32,1000,tpcc,2048,94.4162,3.80304,398,58510,1823,1,2543.91
8,4905,279.805,0,vmcache,32,1000,tpcc,2048,94.7652,4.05895,449,7488,0,1,2496
9,5301,260.473,5.89062,vmcache,32,1000,tpcc,2048,94.4335,4.61782,399,60929,1508,1,2538.71
10,5802,283.84,0,vmcache,32,1000,tpcc,2048,94.8797,4.8328,429,0,0,1,0
11,5511,246.684,5.82812,vmcache,32,1000,tpcc,2048,94.5922,5.34949,375,55372,1492,1,2516.91
12,5953,271.977,9.35938,vmcache,32,1000,tpcc,2048,94.9979,5.55364,473,0,2396,1,0
13,5901,263.746,0,vmcache,32,1000,tpcc,2048,94.6775,6.12249,485,62211,0,1,2488.44
14,6292,256.656,6.73828,vmcache,32,1000,tpcc,2048,94.5888,6.55521,377,40107,1725,1,2506.69
15,6951,271.535,0,vmcache,32,1000,tpcc,2048,94.8766,6.83387,470,12571,0,1,2514.2
16,6093,234.496,7.08203,vmcache,32,1000,tpcc,2048,94.4636,7.3945,376,64486,1813,1,2480.23
17,7715,280.793,0,vmcache,32,1000,tpcc,2048,94.9166,7.60603,462,0,0,1,0
18,7359,250.73,7.28125,vmcache,32,1000,tpcc,2048,94.5597,8.16481,387,61835,1864,1,2473.4
19,7955,277.496,4.37891,vmcache,32,1000,tpcc,2048,94.9934,8.37446,450,0,1121,1,0
20,7314,246.676,2.22266,vmcache,32,1000,tpcc,2048,94.742,8.88212,418,54196,569,1,2463.45
21,8072,248.434,7.35547,vmcache,32,1000,tpcc,2048,94.3992,9.43108,431,60859,1883,1,2434.36
22,8694,278.504,0,vmcache,32,1000,tpcc,2048,94.8532,9.63992,491,0,0,1,0
23,8077,254.527,5.83203,vmcache,32,1000,tpcc,2048,94.5795,10.1664,460,56273,1493,1,2446.65
24,8993,262.414,4.36328,vmcache,32,1000,tpcc,2048,94.7959,10.4626,441,16920,1117,1,2417.14
25,9041,256.535,0,vmcache,32,1000,tpcc,2048,94.7792,10.8737,479,36562,0,1,2437.47
26,9347,253.375,8.17969,vmcache,32,1000,tpcc,2048,94.4446,11.4264,448,60667,2094,1,2426.68
27,10399,274.535,0,vmcache,32,1000,tpcc,2048,94.8943,11.6336,478,0,0,1,0
28,9348,239.34,6.58203,vmcache,32,1000,tpcc,2048,94.5444,12.1752,422,60529,1685,1,2421.16
29,11366,272.52,0,vmcache,32,1000,tpcc,2048,94.9902,12.3819,448,0,0,1,0
30,10046,240.66,6.26562,vmcache,32,1000,tpcc,2048,94.7382,12.8784,393,53092,1604,1,2413.27
31,10506,240.473,7.75781,vmcache,32,1000,tpcc,2048,94.3143,13.4584,401,67027,1986,1,2393.82
32,12304,272.352,0,vmcache,32,1000,tpcc,2048,94.7671,13.6627,460,0,0,1,0
33,11525,249.59,8.21484,vmcache,32,1000,tpcc,2048,94.3553,14.251,376,67082,2103,1,2395.79
34,12875,272.309,0,vmcache,32,1000,tpcc,2048,94.8065,14.457,408,0,0,1,0
35,12286,246.555,7.57812,vmcache,32,1000,tpcc,2048,94.6039,14.9382,350,49599,1940,1,2361.86
36,12939,249.121,6.01172,vmcache,32,1000,tpcc,2048,94.3503,15.4516,358,54776,1539,1,2381.57
37,13680,268.23,0,vmcache,32,1000,tpcc,2048,94.7707,15.6681,387,2373,0,1,2373
38,13881,250.984,7.47266,vmcache,32,1000,tpcc,2048,94.606,16.1392,300,47275,1913,1,2363.75
39,14047,248.062,4.32422,vmcache,32,1000,tpcc,2048,94.3257,16.6688,306,57266,1107,1,2386.08
40,15705,269.129,0,vmcache,32,1000,tpcc,2048,94.7795,16.8722,329,0,0,1,0
41,14287,241.543,7.01172,vmcache,32,1000,tpcc,2048,94.569,17.3529,236,49758,1795,1,2369.43
42,15845,261.879,5.97656,vmcache,32,1000,tpcc,2048,94.9953,17.5504,270,0,1530,1,0
43,15348,240.969,0.265625,vmcache,32,1000,tpcc,2048,94.5388,18.1641,235,72573,68,1,2341.06
44,16534,261.73,0,vmcache,32,1000,tpcc,2048,94.9839,18.3619,238,0,0,1,0
45,15894,242.895,6.67578,vmcache,32,1000,tpcc,2048,94.7615,18.8534,191,51472,1709,1,2339.64
46,14883,221.891,4.3125,vmcache,32,1000,tpcc,2048,94.3739,19.3979,170,62957,1104,1,2331.74
47,17775,261.137,0,vmcache,32,1000,tpcc,2048,94.8184,19.5958,190,0,0,1,0
48,16736,238.613,3.66016,vmcache,32,1000,tpcc,2048,94.4097,20.179,159,67575,937,1,2330.17
49,18055,260.656,0,vmcache,32,1000,tpcc,2048,94.8531,20.3777,166,0,0,1,0
50,16855,237.82,6.28906,vmcache,32,1000,tpcc,2048,94.6307,20.8633,161,51108,1610,1,2323.09
51,17223,238.977,3.09766,vmcache,32,1000,tpcc,2048,94.23,21.4449,143,67035,793,1,2311.55
52,19139,261.383,0,vmcache,32,1000,tpcc,2048,94.6785,21.6431,171,0,0,1,0
53,17866,239.039,4.65625,vmcache,32,1000,tpcc,2048,94.3342,22.1953,169,61980,1192,1,2295.56
54,19587,261.445,0,vmcache,32,1000,tpcc,2048,94.7831,22.3939,181,0,0,1,0
55,18122,239.09,5.74219,vmcache,32,1000,tpcc,2048,94.5207,22.9035,171,55051,1470,1,2293.79
56,19922,260.965,0,vmcache,32,1000,tpcc,2048,94.97,23.102,189,0,0,1,0
57,18704,239.75,4.75391,vmcache,32,1000,tpcc,2048,94.6056,23.6664,199,64273,1217,1,2295.46
58,19324,241.207,4.45703,vmcache,32,1000,tpcc,2048,94.3554,24.1766,177,54858,1141,1,2285.75
