vmcache blk:/dev/nvme0n1 virtgb:894 physgb:32 remotegb:64 nodes:[0,1] policy:[dr=1,dw=1,nr=0,nw=0] promote:[min=1,scan_mult=2] migrate:[method=3,batch_sz=512,mode=0] exmap:0
space: 180.625 GB 
Switching to workload ratios: dr=0.5 dw=0.5 nr=0.5 nw=1
ts,tx,rmb,wmb,system,threads,datasize,workload,batch,dram_occupancy,remote_occupancy,promotions,demotions,evictions,avg_promote_batch,avg_demote_batch
0,2906,313.258,21.8984,vmcache,32,1000,tpcc,512,94.9664,0.461489,241,37447,39386239,1,613.885
1,3402,302.383,11.4102,vmcache,32,1000,tpcc,512,95.0001,0.88895,266,33405,2921,1,618.611
2,3587,297.703,21.7617,vmcache,32,1000,tpcc,512,94.9873,1.31707,276,33991,5571,1,618.018
3,3962,285.637,18.125,vmcache,32,1000,tpcc,512,94.9928,1.72362,325,31735,4640,1,622.255
4,3948,274.699,6.78516,vmcache,32,1000,tpcc,512,94.9622,2.1492,295,36922,1737,1,625.797
5,3811,271.914,11.5664,vmcache,32,1000,tpcc,512,94.9938,2.53231,334,29862,2961,1,622.125
6,4282,272.258,15.4375,vmcache,32,1000,tpcc,512,94.9628,2.94189,368,34316,3952,1,623.927
7,4617,268.785,7.98438,vmcache,32,1000,tpcc,512,94.991,3.32881,397,30891,2044,1,630.429
8,4447,262.305,17.9922,vmcache,32,1000,tpcc,512,94.8939,3.7532,384,37875,4606,1,631.25
9,4906,263.988,12.9766,vmcache,32,1000,tpcc,512,94.9259,4.12419,412,28872,3322,1,627.652
10,5612,267.734,9.34766,vmcache,32,1000,tpcc,512,94.9704,4.50116,373,29280,2393,1,622.979
11,5533,260.547,13.8516,vmcache,32,1000,tpcc,512,94.916,4.90982,400,35633,3546,1,625.14
12,5833,262.258,13.3906,vmcache,32,1000,tpcc,512,94.9969,5.25537,435,24975,3428,1,624.375
13,5699,257.484,10.3828,vmcache,32,1000,tpcc,512,94.9844,5.64478,423,32913,2658,1,621
14,6198,256.133,18.4531,vmcache,32,1000,tpcc,512,94.9103,6.05116,419,35802,4724,1,617.276
15,6132,251.535,16.8398,vmcache,32,1000,tpcc,512,94.8879,6.4276,435,31370,4311,1,615.098
16,6918,256.812,14.4336,vmcache,32,1000,tpcc,512,94.9028,6.7982,457,29766,3695,1,620.125
17,6826,256.172,11.4219,vmcache,32,1000,tpcc,512,94.9296,7.16652,431,29485,2924,1,614.271
18,7534,254.207,13.0273,vmcache,32,1000,tpcc,512,94.9479,7.53461,398,29753,3335,1,619.854
19,7120,254.465,13.7266,vmcache,32,1000,tpcc,512,94.9997,7.88457,441,26491,3514,1,616.07
20,7125,247.52,17.5938,vmcache,32,1000,tpcc,512,94.9214,8.28339,391,35575,4504,1,613.362
21,7886,256.812,10.5898,vmcache,32,1000,tpcc,512,94.9264,8.66622,405,31889,2711,1,613.25
22,8205,252.121,14.0078,vmcache,32,1000,tpcc,512,94.9587,9.02318,449,28024,3586,1,609.217
23,7861,255.723,17.4414,vmcache,32,1000,tpcc,512,94.9873,9.38238,419,27880,4465,1,606.087
24,8601,245.793,10.9531,vmcache,32,1000,tpcc,512,94.969,9.76042,376,32357,2804,1,610.509
25,8490,250.055,18.1055,vmcache,32,1000,tpcc,512,94.901,10.1584,451,35211,4635,1,607.086
26,8435,248.918,11.2109,vmcache,32,1000,tpcc,512,94.9008,10.5317,438,31245,2870,1,612.647
27,9273,248.383,14.6523,vmcache,32,1000,tpcc,512,94.943,10.8786,375,26668,3751,1,606.091
28,9381,251.824,17.4883,vmcache,32,1000,tpcc,512,94.9861,11.2266,434,26603,4477,1,604.614
29,10171,247.918,11.7109,vmcache,32,1000,tpcc,512,94.9996,11.5928,424,30230,2998,1,604.6
30,10032,246.832,15.6055,vmcache,32,1000,tpcc,512,94.8893,12.013,426,39321,3995,1,604.938
31,10359,248.488,13.9492,vmcache,32,1000,tpcc,512,94.9105,12.3737,427,29255,3571,1,597.041
32,10679,244.742,7.51562,vmcache,32,1000,tpcc,512,94.9042,12.7518,441,32777,1924,1,595.945
33,11222,245.227,18.293,vmcache,32,1000,tpcc,512,94.947,13.0903,431,25732,4683,1,598.419
34,11566,247.289,8.99219,vmcache,32,1000,tpcc,512,94.8702,13.5064,391,38546,2302,1,602.281
